Teneur en P2O5 (%),Teneur en CaO (%),Teneur en SiO2 (%),Humidité (%),Granulométrie (mm),Site d'extraction,Qualité du Phosphate
20.91,22.32,0.5,11.7,1.53,Sidi Dawui,Moyenne
22.59,35.13,0.6,13.52,0.61,Sidi Chennane,Moyenne
36.01,35.61,1.44,3.96,1.05,Sidi Dawui,Haute
31.09,30.04,0.5,11.41,0.6,Sidi Dawui,Moyenne
39.0,44.69,4.57,3.48,0.74,Sidi Dawui,Haute
33.4,29.01,0.5,0.42,0.67,Sidi Dawui,Moyenne
19.21,26.29,3.41,7.23,0.57,Sidi Chennane,Faible
18.93,25.15,0.92,11.49,0.38,Sidi Chennane,Faible
39.88,46.59,1.5,3.22,0.94,Sidi Dawui,Haute
26.55,27.72,0.5,0.73,2.47,Sidi Dawui,Moyenne
28.27,34.14,4.64,5.61,1.07,Sidi Chennane,Moyenne
43.63,37.15,0.5,3.04,0.79,Sidi Dawui,Haute
17.31,22.31,4.51,5.73,1.91,Sidi Dawui,Faible
42.81,49.94,0.5,13.81,0.67,Sidi Dawui,Haute
50.0,57.89,0.5,11.16,1.17,Sidi Dawui,Haute
24.09,34.86,0.6,5.59,0.29,Sidi Chennane,Moyenne
37.95,46.76,2.36,4.88,1.0,Sidi Dawui,Haute
41.94,34.82,0.5,13.82,0.77,Sidi Dawui,Haute
20.76,33.47,0.83,13.33,0.23,Sidi Chennane,Moyenne
34.16,31.83,0.5,9.06,0.7,Sidi Dawui,Moyenne
20.54,20.0,0.5,5.36,0.15,Sidi Dawui,Moyenne
33.76,37.53,0.5,11.89,0.62,Sidi Dawui,Moyenne
25.64,36.21,0.6,9.96,1.48,Sidi Chennane,Moyenne
37.2,34.71,0.5,8.47,0.48,Sidi Dawui,Haute
42.2,38.98,0.5,11.08,0.57,Sidi Dawui,Haute
25.45,20.0,2.1,2.02,0.3,Sidi Dawui,Moyenne
27.65,30.9,3.42,13.95,1.26,Sidi Dawui,Moyenne
49.75,42.04,0.5,14.59,0.7,Sidi Dawui,Haute
21.55,40.03,0.6,5.32,0.97,Sidi Chennane,Moyenne
23.76,32.8,0.6,14.2,2.51,Sidi Chennane,Moyenne
31.89,38.31,0.5,11.94,0.45,Sidi Dawui,Moyenne
17.32,20.0,0.6,14.12,2.75,Sidi Chennane,Faible
47.27,52.59,0.5,13.76,0.82,Sidi Dawui,Haute
27.7,31.91,0.5,3.01,2.32,Sidi Dawui,Moyenne
15.4,26.7,5.19,3.9,0.91,Sidi Chennane,Faible
28.4,21.72,0.79,3.91,0.27,Sidi Dawui,Moyenne
14.28,20.0,0.5,1.41,0.37,Sidi Dawui,Faible
18.4,28.93,5.74,5.97,0.81,Sidi Chennane,Faible
23.69,24.23,0.5,5.44,0.26,Sidi Dawui,Moyenne
38.12,39.84,0.5,5.16,1.53,Sidi Dawui,Haute
26.37,24.91,3.79,5.23,1.93,Sidi Dawui,Moyenne
40.58,50.26,0.5,0.93,0.31,Sidi Dawui,Haute
31.31,60.0,0.6,2.79,0.8,Sidi Chennane,Moyenne
39.61,40.24,0.5,4.44,0.93,Sidi Dawui,Haute
21.14,32.67,3.8,13.33,1.74,Sidi Chennane,Moyenne
33.78,34.08,0.5,13.9,1.39,Sidi Dawui,Moyenne
18.62,22.3,3.46,4.28,0.72,Sidi Dawui,Faible
21.66,35.27,0.6,10.41,0.32,Sidi Chennane,Moyenne
17.08,20.62,9.39,12.76,1.0,Sidi Chennane,Faible
38.82,35.16,4.42,7.59,0.9,Sidi Dawui,Haute
50.0,47.23,0.5,11.33,0.52,Sidi Dawui,Haute
37.05,52.41,1.72,14.64,5.44,Sidi Dawui,Haute
10.0,20.0,0.6,2.43,1.15,Sidi Chennane,Faible
20.22,26.54,2.76,1.06,0.59,Sidi Chennane,Moyenne
23.27,30.12,0.6,9.6,0.64,Sidi Chennane,Moyenne
23.05,37.42,1.12,7.63,1.95,Sidi Chennane,Moyenne
25.85,29.45,0.5,4.45,2.59,Sidi Dawui,Moyenne
34.73,39.0,0.5,13.75,1.64,Sidi Dawui,Moyenne
14.67,20.0,0.6,12.69,2.26,Sidi Chennane,Faible
23.9,25.03,0.5,3.97,0.37,Sidi Dawui,Moyenne
38.38,39.03,0.5,11.61,0.96,Sidi Dawui,Haute
16.1,20.0,0.6,12.43,0.4,Sidi Chennane,Faible
25.89,32.07,0.6,4.88,1.9,Sidi Chennane,Moyenne
13.87,21.31,4.4,1.49,2.05,Sidi Chennane,Faible
48.56,50.03,2.59,12.76,0.45,Sidi Dawui,Haute
17.62,27.62,0.6,1.45,0.62,Sidi Chennane,Faible
30.46,34.17,0.5,7.18,0.46,Sidi Dawui,Moyenne
24.58,43.7,2.28,2.92,1.2,Sidi Chennane,Moyenne
18.94,24.09,0.6,13.91,0.92,Sidi Chennane,Faible
23.4,37.08,0.6,1.61,1.03,Sidi Chennane,Moyenne
37.74,42.09,0.5,1.75,0.77,Sidi Dawui,Haute
41.24,39.26,0.5,10.53,4.33,Sidi Dawui,Haute
27.49,40.45,4.8,3.08,2.16,Sidi Chennane,Moyenne
30.94,29.57,1.85,1.99,0.89,Sidi Dawui,Moyenne
31.17,41.28,2.27,2.52,0.29,Sidi Dawui,Moyenne
37.3,54.75,0.6,8.94,0.26,Sidi Chennane,Haute
41.14,44.0,0.5,3.34,0.27,Sidi Dawui,Haute
24.11,23.13,8.52,5.66,1.42,Sidi Dawui,Moyenne
33.41,30.94,0.51,12.75,0.88,Sidi Dawui,Moyenne
29.45,23.55,0.5,2.64,2.68,Sidi Dawui,Moyenne
21.65,36.56,5.07,12.39,1.77,Sidi Chennane,Moyenne
14.75,23.83,5.7,11.63,0.17,Sidi Chennane,Faible
19.9,27.42,6.85,12.47,0.52,Sidi Chennane,Faible
48.99,42.2,1.02,5.21,0.26,Sidi Dawui,Haute
37.77,38.81,0.5,7.09,0.72,Sidi Dawui,Haute
13.0,20.0,3.8,10.61,1.28,Sidi Dawui,Faible
30.17,42.08,0.6,0.56,1.06,Sidi Chennane,Moyenne
42.42,34.17,0.5,9.96,0.99,Sidi Dawui,Haute
20.24,30.21,4.32,1.8,0.39,Sidi Chennane,Moyenne
39.03,40.45,1.46,4.32,6.35,Sidi Dawui,Haute
24.68,28.84,0.5,12.15,1.13,Sidi Dawui,Moyenne
28.22,27.57,0.5,9.53,3.52,Sidi Dawui,Moyenne
46.14,43.77,0.5,9.33,1.92,Sidi Dawui,Haute
20.79,22.84,0.81,3.4,1.63,Sidi Chennane,Moyenne
10.72,20.0,13.93,10.02,1.63,Sidi Chennane,Faible
31.92,36.31,0.5,1.98,0.64,Sidi Dawui,Moyenne
22.0,31.93,0.6,14.47,0.62,Sidi Chennane,Moyenne
43.41,34.53,0.5,3.79,0.92,Sidi Dawui,Haute
32.63,26.53,0.5,12.4,0.88,Sidi Dawui,Moyenne
28.66,26.25,0.5,13.8,0.14,Sidi Dawui,Moyenne
29.08,48.25,0.6,2.58,0.99,Sidi Chennane,Moyenne
33.6,35.1,0.5,0.15,1.58,Sidi Dawui,Moyenne
25.67,20.0,0.5,13.11,0.35,Sidi Dawui,Moyenne
43.01,45.69,0.5,11.46,0.43,Sidi Dawui,Haute
23.72,29.84,0.63,2.31,1.05,Sidi Chennane,Moyenne
22.52,29.91,0.6,12.46,1.39,Sidi Chennane,Moyenne
34.12,39.22,0.5,12.16,0.87,Sidi Dawui,Moyenne
15.75,25.44,0.6,6.92,1.32,Sidi Chennane,Faible
27.7,32.36,3.62,14.2,1.11,Sidi Dawui,Moyenne
32.53,32.42,0.5,8.73,0.74,Sidi Dawui,Moyenne
21.27,34.9,1.69,6.64,0.97,Sidi Chennane,Moyenne
44.08,40.1,0.5,0.2,0.98,Sidi Dawui,Haute
23.87,33.11,1.45,14.29,1.02,Sidi Chennane,Moyenne
40.28,38.26,0.5,1.93,0.89,Sidi Dawui,Haute
32.59,32.71,0.5,4.44,1.31,Sidi Dawui,Moyenne
42.11,33.78,0.5,10.94,2.13,Sidi Dawui,Haute
36.12,34.87,8.44,0.08,1.42,Sidi Dawui,Moyenne
32.62,39.91,1.03,8.14,0.16,Sidi Dawui,Moyenne
32.38,26.94,5.51,2.38,0.33,Sidi Dawui,Moyenne
23.81,20.0,0.5,0.34,1.61,Sidi Dawui,Moyenne
37.11,29.98,2.74,9.62,0.52,Sidi Dawui,Haute
32.13,45.29,0.5,9.04,2.56,Sidi Dawui,Moyenne
19.34,29.93,0.6,11.01,0.31,Sidi Chennane,Faible
29.47,40.8,0.6,9.27,1.93,Sidi Chennane,Moyenne
14.62,21.35,0.6,6.63,0.5,Sidi Chennane,Faible
28.66,29.66,0.5,7.18,2.46,Sidi Dawui,Moyenne
41.85,37.73,0.5,3.3,0.55,Sidi Dawui,Haute
24.49,32.56,0.6,1.26,0.46,Sidi Chennane,Moyenne
32.06,31.29,0.5,12.91,1.07,Sidi Dawui,Moyenne
34.78,30.91,0.5,10.37,0.31,Sidi Dawui,Moyenne
34.13,32.05,1.56,1.84,0.47,Sidi Dawui,Moyenne
12.95,20.0,1.01,3.96,2.0,Sidi Chennane,Faible
29.32,24.82,5.42,12.95,3.19,Sidi Dawui,Moyenne
32.68,60.0,0.6,14.4,0.83,Sidi Chennane,Moyenne
26.5,29.57,0.5,11.87,0.67,Sidi Dawui,Moyenne
29.6,23.82,5.27,8.55,0.3,Sidi Dawui,Moyenne
27.57,20.0,0.5,13.04,1.66,Sidi Dawui,Moyenne
31.71,28.35,0.5,9.4,0.7,Sidi Dawui,Moyenne
27.19,30.06,0.5,10.49,0.38,Sidi Dawui,Moyenne
25.57,39.72,0.6,12.4,1.25,Sidi Chennane,Moyenne
34.3,33.71,0.5,5.31,0.35,Sidi Dawui,Moyenne
39.54,35.88,0.79,11.77,1.13,Sidi Dawui,Haute
22.94,20.0,1.22,3.1,0.73,Sidi Dawui,Moyenne
20.36,27.58,4.28,2.91,1.17,Sidi Chennane,Moyenne
21.08,25.7,3.45,12.17,0.31,Sidi Chennane,Moyenne
36.65,34.4,0.5,8.46,1.17,Sidi Dawui,Haute
17.5,30.46,0.6,6.21,0.24,Sidi Chennane,Faible
40.83,35.99,0.5,7.85,1.24,Sidi Dawui,Haute
29.97,47.37,0.6,14.67,0.93,Sidi Chennane,Moyenne
23.5,26.26,2.33,13.41,0.22,Sidi Dawui,Moyenne
19.41,23.38,2.77,7.61,0.99,Sidi Chennane,Faible
27.66,24.07,0.5,8.21,1.75,Sidi Dawui,Moyenne
39.08,60.0,0.6,9.21,0.7,Sidi Chennane,Haute
28.59,24.52,0.5,11.86,0.35,Sidi Dawui,Moyenne
47.77,47.34,0.5,13.11,0.71,Sidi Dawui,Haute
20.97,27.56,0.5,2.2,0.16,Sidi Dawui,Moyenne
16.27,27.04,4.58,9.42,1.29,Sidi Chennane,Faible
26.25,26.6,2.65,3.41,1.82,Sidi Dawui,Moyenne
17.17,28.01,8.89,9.33,0.69,Sidi Chennane,Faible
30.06,29.8,0.5,2.57,0.81,Sidi Dawui,Moyenne
18.03,30.13,0.6,12.12,2.44,Sidi Chennane,Faible
25.04,20.0,0.5,9.91,3.42,Sidi Dawui,Moyenne
43.04,42.12,0.5,12.99,1.79,Sidi Dawui,Haute
43.64,29.63,0.5,14.17,0.44,Sidi Dawui,Haute
28.48,42.16,0.6,14.01,2.69,Sidi Chennane,Moyenne
37.27,35.91,4.5,2.18,1.64,Sidi Dawui,Haute
23.08,40.32,1.95,5.65,1.21,Sidi Chennane,Moyenne
19.37,31.04,5.41,7.25,1.28,Sidi Chennane,Faible
23.83,21.9,0.5,11.83,2.35,Sidi Dawui,Moyenne
35.8,33.57,0.5,0.22,0.23,Sidi Dawui,Haute
15.11,23.1,1.2,13.88,0.89,Sidi Chennane,Faible
16.24,21.39,0.6,6.11,0.4,Sidi Chennane,Faible
29.76,42.78,0.6,9.47,1.39,Sidi Chennane,Moyenne
49.8,59.88,0.5,14.71,0.52,Sidi Dawui,Haute
36.08,31.48,0.5,13.24,11.81,Sidi Dawui,Haute
29.47,39.64,0.6,5.43,1.83,Sidi Chennane,Moyenne
30.26,28.83,0.5,7.27,0.39,Sidi Dawui,Moyenne
14.07,30.2,2.55,11.55,2.15,Sidi Chennane,Faible
38.07,41.63,0.5,11.15,0.72,Sidi Dawui,Haute
37.68,44.24,0.5,10.57,1.08,Sidi Dawui,Haute
33.15,37.07,3.53,0.16,0.89,Sidi Dawui,Moyenne
30.29,34.19,0.5,2.99,0.23,Sidi Dawui,Moyenne
41.26,44.26,2.09,3.33,0.62,Sidi Dawui,Haute
23.53,24.85,0.5,3.76,0.41,Sidi Dawui,Moyenne
25.46,20.0,3.85,1.44,0.15,Sidi Dawui,Moyenne
23.33,24.61,1.94,12.1,0.65,Sidi Dawui,Moyenne
23.04,32.72,3.27,5.12,0.81,Sidi Chennane,Moyenne
22.6,24.5,1.05,11.63,0.31,Sidi Dawui,Moyenne
26.27,25.99,1.51,13.97,2.37,Sidi Dawui,Moyenne
18.05,29.14,6.45,4.7,1.35,Sidi Chennane,Faible
30.13,34.49,0.5,6.81,1.09,Sidi Dawui,Moyenne
13.13,20.0,9.53,1.31,1.51,Sidi Chennane,Faible
33.29,31.07,0.58,4.42,1.55,Sidi Dawui,Moyenne
43.85,31.32,0.5,8.19,1.24,Sidi Dawui,Haute
23.35,34.97,0.6,2.7,3.44,Sidi Chennane,Moyenne
46.53,44.37,0.5,8.06,0.19,Sidi Dawui,Haute
44.64,53.95,0.5,4.69,1.53,Sidi Dawui,Haute
27.4,40.84,1.25,14.85,0.74,Sidi Chennane,Moyenne
33.18,30.7,0.5,5.64,3.07,Sidi Dawui,Moyenne
22.64,37.43,0.6,0.59,1.34,Sidi Chennane,Moyenne
27.31,37.52,0.6,7.09,0.91,Sidi Chennane,Moyenne
20.03,26.72,0.6,5.01,3.17,Sidi Chennane,Moyenne
15.37,20.0,0.93,5.55,0.86,Sidi Dawui,Faible
25.6,46.15,0.6,5.56,1.4,Sidi Chennane,Moyenne
22.21,25.12,1.87,13.22,0.6,Sidi Dawui,Moyenne
23.74,25.82,0.5,7.47,1.11,Sidi Dawui,Moyenne
22.5,46.26,1.28,3.79,5.22,Sidi Chennane,Moyenne
31.63,28.07,3.0,11.89,1.99,Sidi Dawui,Moyenne
19.65,20.0,3.71,6.65,1.41,Sidi Dawui,Faible
34.01,34.77,5.1,2.18,0.33,Sidi Dawui,Moyenne
41.29,50.92,4.54,14.98,6.59,Sidi Dawui,Haute
22.23,20.0,0.57,0.41,0.38,Sidi Dawui,Moyenne
44.08,55.98,0.5,10.64,1.06,Sidi Dawui,Haute
12.67,20.0,1.94,12.71,1.45,Sidi Chennane,Faible
35.84,50.8,0.6,5.31,1.66,Sidi Chennane,Haute
19.91,29.52,11.12,2.36,0.57,Sidi Chennane,Faible
33.83,29.23,0.5,6.55,1.71,Sidi Dawui,Moyenne
10.58,20.0,5.5,7.24,0.37,Sidi Chennane,Faible
31.93,35.85,0.5,15.0,3.77,Sidi Dawui,Moyenne
34.58,42.25,0.5,0.29,0.36,Sidi Dawui,Moyenne
31.72,21.4,0.5,9.84,0.66,Sidi Dawui,Moyenne
27.38,28.14,0.5,12.07,1.58,Sidi Dawui,Moyenne
16.54,23.47,8.32,9.27,0.87,Sidi Chennane,Faible
42.79,43.49,1.11,9.45,3.36,Sidi Dawui,Haute
22.69,31.18,0.6,13.13,2.74,Sidi Chennane,Moyenne
46.52,37.28,0.5,8.48,1.48,Sidi Dawui,Haute
19.18,34.28,0.6,13.22,0.56,Sidi Chennane,Faible
28.54,33.63,0.5,3.15,0.9,Sidi Dawui,Moyenne
39.92,39.28,0.5,7.74,0.31,Sidi Dawui,Haute
17.73,20.0,6.38,0.5,0.51,Sidi Dawui,Faible
14.86,20.0,3.41,12.05,0.82,Sidi Chennane,Faible
29.41,25.59,0.6,11.66,2.02,Sidi Chennane,Moyenne
21.84,23.02,0.5,8.09,1.4,Sidi Dawui,Moyenne
15.95,20.0,3.5,5.94,0.81,Sidi Dawui,Faible
49.5,50.55,0.51,5.55,0.54,Sidi Dawui,Haute
19.82,20.0,0.5,3.02,1.84,Sidi Dawui,Faible
34.18,34.88,2.93,6.42,0.63,Sidi Dawui,Moyenne
33.13,28.78,0.5,4.56,1.72,Sidi Dawui,Moyenne
13.0,20.0,0.5,8.67,1.51,Sidi Dawui,Faible
30.07,29.3,0.5,11.8,2.35,Sidi Dawui,Moyenne
36.58,40.5,2.97,10.41,0.5,Sidi Dawui,Haute
35.72,43.3,0.5,7.71,0.7,Sidi Dawui,Haute
28.19,39.29,0.6,14.23,1.0,Sidi Chennane,Moyenne
28.97,24.32,0.5,2.96,0.78,Sidi Dawui,Moyenne
38.98,39.2,0.5,9.6,0.58,Sidi Dawui,Haute
26.23,34.34,0.5,1.32,0.58,Sidi Dawui,Moyenne
13.61,20.0,7.82,10.1,0.36,Sidi Chennane,Faible
20.69,23.51,1.62,10.88,0.54,Sidi Dawui,Moyenne
19.19,23.14,5.58,11.74,1.75,Sidi Dawui,Faible
28.86,39.38,2.41,9.96,2.04,Sidi Chennane,Moyenne
18.72,20.0,0.5,1.84,1.27,Sidi Dawui,Faible
24.23,38.09,6.23,0.66,0.82,Sidi Chennane,Moyenne
30.08,31.71,0.5,10.71,0.92,Sidi Dawui,Moyenne
31.57,34.94,2.97,11.97,3.09,Sidi Dawui,Moyenne
44.91,59.24,0.5,0.49,1.98,Sidi Dawui,Haute
28.51,29.24,0.54,2.25,0.12,Sidi Dawui,Moyenne
38.07,31.08,0.5,11.85,0.51,Sidi Dawui,Haute
32.84,33.18,0.56,14.52,0.66,Sidi Dawui,Moyenne
21.54,32.27,0.6,7.81,3.4,Sidi Chennane,Moyenne
36.99,60.0,0.6,2.3,1.66,Sidi Chennane,Haute
13.42,20.0,0.75,4.82,0.32,Sidi Chennane,Faible
30.62,41.45,0.6,11.72,1.74,Sidi Chennane,Moyenne
26.64,30.36,3.59,8.15,9.95,Sidi Chennane,Moyenne
28.14,30.51,0.5,0.87,1.93,Sidi Dawui,Moyenne
47.33,60.0,0.5,4.63,0.5,Sidi Dawui,Haute
15.68,20.0,1.66,11.29,3.32,Sidi Dawui,Faible
19.21,29.68,0.6,4.89,1.31,Sidi Chennane,Faible
14.89,20.0,3.87,6.48,0.58,Sidi Chennane,Faible
36.25,29.1,0.5,13.58,1.04,Sidi Dawui,Haute
22.37,23.87,4.75,14.77,0.82,Sidi Dawui,Moyenne
36.44,36.6,1.71,11.36,0.57,Sidi Dawui,Haute
30.8,20.0,2.07,3.6,0.38,Sidi Dawui,Moyenne
19.48,35.11,0.6,3.65,0.62,Sidi Chennane,Faible
36.04,38.34,0.5,4.56,0.96,Sidi Dawui,Haute
20.81,30.4,0.6,2.41,1.89,Sidi Chennane,Moyenne
15.64,21.13,2.44,2.68,0.36,Sidi Chennane,Faible
40.15,60.0,0.6,3.84,0.33,Sidi Chennane,Haute
28.07,30.02,0.5,9.9,1.09,Sidi Dawui,Moyenne
13.0,20.0,4.35,9.19,0.77,Sidi Dawui,Faible
17.19,28.92,0.6,5.11,0.73,Sidi Chennane,Faible
14.52,25.15,3.97,2.95,0.48,Sidi Chennane,Faible
27.7,52.37,0.6,9.36,0.5,Sidi Chennane,Moyenne
35.43,30.87,0.5,1.96,0.41,Sidi Dawui,Haute
25.01,32.94,0.6,2.19,0.24,Sidi Chennane,Moyenne
20.17,30.75,2.67,5.75,1.31,Sidi Chennane,Moyenne
20.74,26.37,2.7,8.51,1.49,Sidi Chennane,Moyenne
20.16,26.36,2.87,10.92,3.78,Sidi Chennane,Moyenne
31.76,34.08,0.5,10.3,1.6,Sidi Dawui,Moyenne
40.1,45.66,0.5,5.68,0.97,Sidi Dawui,Haute
35.56,42.54,0.5,9.82,1.46,Sidi Dawui,Haute
37.05,35.95,0.5,3.17,0.74,Sidi Dawui,Haute
37.05,39.69,0.87,7.41,0.51,Sidi Dawui,Haute
40.55,42.06,0.5,9.23,1.68,Sidi Dawui,Haute
35.12,35.22,3.33,11.17,1.29,Sidi Dawui,Haute
35.77,31.28,3.16,1.19,0.36,Sidi Dawui,Haute
29.99,37.03,0.6,1.52,0.97,Sidi Chennane,Moyenne
26.45,29.16,1.9,1.11,0.51,Sidi Dawui,Moyenne
17.11,21.55,0.6,8.2,2.09,Sidi Chennane,Faible
21.71,20.0,0.5,8.55,0.71,Sidi Dawui,Moyenne
23.65,34.0,0.6,0.17,3.92,Sidi Chennane,Moyenne
10.82,20.0,0.6,9.85,2.57,Sidi Chennane,Faible
36.71,20.92,0.5,11.45,0.42,Sidi Dawui,Haute
21.81,30.11,3.3,1.75,0.59,Sidi Chennane,Moyenne
29.65,47.27,0.6,5.06,1.71,Sidi Chennane,Moyenne
18.27,20.0,2.25,12.75,1.05,Sidi Chennane,Faible
21.22,29.64,2.42,10.31,0.8,Sidi Chennane,Moyenne
29.57,35.22,0.6,4.57,1.05,Sidi Chennane,Moyenne
31.21,38.1,0.6,11.13,0.91,Sidi Chennane,Moyenne
26.31,24.68,0.5,13.31,2.24,Sidi Dawui,Moyenne
23.65,28.25,1.81,4.64,0.8,Sidi Chennane,Moyenne
35.18,28.65,0.5,10.26,1.45,Sidi Dawui,Haute
24.85,35.57,0.6,1.4,1.45,Sidi Chennane,Moyenne
20.85,40.43,0.6,0.88,2.7,Sidi Chennane,Moyenne
44.16,49.31,0.5,8.79,0.95,Sidi Dawui,Haute
10.59,20.0,0.6,7.39,1.13,Sidi Chennane,Faible
19.85,32.18,11.14,12.15,1.35,Sidi Chennane,Faible
25.32,32.65,4.19,11.7,0.59,Sidi Chennane,Moyenne
36.66,38.41,0.5,4.3,0.88,Sidi Dawui,Haute
44.81,52.38,0.5,7.68,0.48,Sidi Dawui,Haute
43.4,48.94,0.5,11.34,1.73,Sidi Dawui,Haute
20.7,30.8,0.6,4.06,3.5,Sidi Chennane,Moyenne
44.33,47.88,5.04,5.43,0.22,Sidi Dawui,Moyenne
18.0,35.85,0.6,0.9,2.22,Sidi Chennane,Faible
28.36,46.26,0.6,1.96,0.97,Sidi Chennane,Moyenne
48.98,46.6,0.5,9.15,2.75,Sidi Dawui,Haute
43.56,43.06,0.5,7.45,1.23,Sidi Dawui,Haute
23.17,28.04,4.16,2.53,2.17,Sidi Chennane,Moyenne
29.48,40.13,2.25,0.11,0.92,Sidi Dawui,Moyenne
18.59,23.18,1.98,2.54,1.04,Sidi Dawui,Faible
35.33,35.78,6.7,11.24,2.16,Sidi Dawui,Moyenne
22.35,29.85,2.23,1.41,7.12,Sidi Dawui,Moyenne
25.28,27.74,0.5,6.04,0.66,Sidi Dawui,Moyenne
21.66,20.23,7.73,3.58,1.1,Sidi Dawui,Moyenne
28.31,32.26,1.67,8.24,0.56,Sidi Dawui,Moyenne
22.32,34.22,7.28,7.67,0.83,Sidi Chennane,Moyenne
34.99,39.5,0.5,14.74,0.66,Sidi Dawui,Moyenne
27.04,21.34,0.5,11.59,0.45,Sidi Dawui,Moyenne
42.23,36.97,0.5,14.07,1.5,Sidi Dawui,Haute
21.19,37.61,5.12,8.67,1.18,Sidi Chennane,Moyenne
25.33,31.93,0.5,11.07,0.49,Sidi Dawui,Moyenne
34.56,42.08,0.5,13.43,0.39,Sidi Dawui,Moyenne
50.0,60.0,0.5,0.62,2.0,Sidi Dawui,Haute
24.61,38.71,0.6,13.73,0.67,Sidi Chennane,Moyenne
20.21,31.48,0.6,3.18,6.02,Sidi Chennane,Moyenne
18.6,20.0,2.13,10.58,0.93,Sidi Dawui,Faible
21.12,27.78,0.6,11.6,1.04,Sidi Chennane,Moyenne
23.98,24.04,0.6,1.64,0.83,Sidi Chennane,Moyenne
28.97,27.54,0.5,14.3,0.32,Sidi Dawui,Moyenne
12.01,20.0,1.89,13.9,0.32,Sidi Chennane,Faible
24.76,28.88,0.73,9.82,3.03,Sidi Dawui,Moyenne
45.74,48.47,0.5,2.33,2.92,Sidi Dawui,Haute
31.53,31.35,0.6,8.49,0.46,Sidi Chennane,Moyenne
16.91,23.72,0.6,5.16,1.49,Sidi Chennane,Faible
26.74,50.31,0.6,13.96,2.9,Sidi Chennane,Moyenne
21.77,21.35,1.99,6.1,0.35,Sidi Dawui,Moyenne
45.28,38.32,0.5,10.41,0.99,Sidi Dawui,Haute
24.04,25.19,0.6,9.56,0.66,Sidi Chennane,Moyenne
41.14,30.03,0.5,4.07,1.14,Sidi Dawui,Haute
16.89,20.0,3.78,8.03,2.68,Sidi Dawui,Faible
38.67,36.09,0.5,6.15,1.37,Sidi Dawui,Haute
32.43,30.68,0.5,5.62,1.6,Sidi Dawui,Moyenne
40.25,37.59,0.5,12.96,0.17,Sidi Dawui,Haute
28.26,39.94,0.6,2.1,1.75,Sidi Chennane,Moyenne
33.1,26.85,0.5,6.16,0.97,Sidi Dawui,Moyenne
18.71,28.35,0.6,0.1,5.63,Sidi Chennane,Faible
39.6,30.93,0.5,3.93,1.62,Sidi Dawui,Haute
31.95,28.24,0.5,9.33,0.77,Sidi Dawui,Moyenne
17.0,28.38,1.26,1.31,4.52,Sidi Chennane,Faible
16.7,25.52,5.96,4.07,0.94,Sidi Chennane,Faible
19.06,21.07,0.5,13.2,1.25,Sidi Dawui,Faible
27.86,37.07,1.03,10.38,0.33,Sidi Dawui,Moyenne
29.45,42.14,0.6,1.05,0.6,Sidi Chennane,Moyenne
34.12,34.23,0.5,14.89,0.56,Sidi Dawui,Moyenne
27.68,26.55,5.53,14.18,0.86,Sidi Dawui,Moyenne
39.82,37.11,0.5,2.13,0.38,Sidi Dawui,Haute
24.92,21.05,1.51,13.83,0.25,Sidi Dawui,Moyenne
33.37,33.8,0.5,8.25,1.09,Sidi Dawui,Moyenne
30.87,32.55,0.5,13.94,0.31,Sidi Dawui,Moyenne
39.59,42.09,0.5,14.52,1.79,Sidi Dawui,Haute
18.15,20.0,2.37,10.4,4.84,Sidi Dawui,Faible
17.14,28.29,0.6,4.37,1.2,Sidi Chennane,Faible
17.59,20.0,4.14,13.87,1.23,Sidi Dawui,Faible
30.14,28.24,0.55,8.6,0.17,Sidi Dawui,Moyenne
43.52,37.32,0.5,5.12,1.65,Sidi Dawui,Haute
19.32,21.25,2.51,6.9,0.94,Sidi Chennane,Faible
19.28,34.11,10.74,6.09,1.47,Sidi Chennane,Faible
40.43,36.08,0.5,14.03,0.39,Sidi Dawui,Haute
42.22,36.21,0.62,12.3,0.81,Sidi Dawui,Haute
31.69,29.66,0.5,0.47,2.68,Sidi Dawui,Moyenne
38.73,37.07,0.5,0.15,0.54,Sidi Dawui,Haute
22.7,28.42,0.5,1.04,0.77,Sidi Dawui,Moyenne
45.04,42.77,0.5,9.16,2.06,Sidi Dawui,Haute
50.0,60.0,0.5,12.22,1.75,Sidi Dawui,Haute
25.78,37.61,0.6,7.72,2.33,Sidi Chennane,Moyenne
10.0,20.0,0.6,8.02,0.56,Sidi Chennane,Faible
27.42,31.19,5.42,3.61,0.88,Sidi Dawui,Moyenne
26.36,40.19,0.6,6.89,0.49,Sidi Chennane,Moyenne
28.66,35.62,0.5,3.85,0.46,Sidi Dawui,Moyenne
30.51,51.69,0.6,4.11,0.47,Sidi Chennane,Moyenne
37.85,41.55,0.5,5.87,0.97,Sidi Dawui,Haute
18.05,35.37,3.23,0.71,3.56,Sidi Chennane,Faible
22.7,30.28,0.6,14.32,2.76,Sidi Chennane,Moyenne
16.87,20.64,7.16,13.71,1.54,Sidi Chennane,Faible
30.84,27.63,1.48,11.94,0.48,Sidi Dawui,Moyenne
27.45,34.85,0.5,8.53,0.44,Sidi Dawui,Moyenne
43.19,52.83,0.5,12.2,0.79,Sidi Dawui,Haute
50.0,47.57,0.5,14.61,1.39,Sidi Dawui,Haute
13.48,20.0,10.04,4.25,1.56,Sidi Chennane,Faible
